Creator	Title	Date	Material	Measurement	Culture	Inscription	Location	State or Edition	Work Rights	Image Rights	Record Creation Date	Record Modification Date	Work ID	Image ID	Technique	External Link	Text Reference	Style or Period1	Style or Period2	Style or Period3	Style or Period4	Style or Period5	Extended Title	Subject1	Subject2	Subject3	Subject4	Subject5	Subject6	Subject7	Subject8	Subject9	Subject10	General Subject	Work Description	Work Description Source	Image Description	Related Works	Image Source	Local Call Number	Order Number	Course Number and Instructor	Order Description	Creator Name1	Creator Name2	Creator Name3	Creator Name4	Creator Name5	Creator Name6	Creator Name7	Creator Name8	Alternate Creator Name1	Alternate Creator Name2	Alternate Creator Name3	Alternate Creator Name4	Alternate Creator Name5	Alternate Creator Name6	Alternate Creator Name7	Alternate Creator Name8	Image Classification Term	Object Type1	Object Type2	Object Type3	Object Type4	Object Type5
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				8/6/2013	11/12/2014	56815	7148982				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	photograph by Duane Hall, 1971	Black Laws; related to	Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				8/6/2013	11/12/2014	56815	7148983				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	photograph by Duane Hall, 1971	Black Laws; related to	Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				8/6/2013	11/12/2014	56815	7148984				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	photograph by Duane Hall, 1971	Black Laws; related to	Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				8/6/2013	11/12/2014	56815	7148985				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	photograph by Duane Hall, 1971	Black Laws; related to	Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				8/6/2013	11/12/2014	56815	7148986				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	photograph by Duane Hall, 1971	Black Laws; related to	Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Eugene "Edaw" Wade (American artist, c. 1930-2008)	Wall of Truth	creation: 1969; destruction: 1971			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [site]				8/6/2013	11/12/2014	56820	7148987				Modern; 20th Century	Western				Wall of Truth (creator, English, preferred)	African Americans -- Civil Rights	Chicago (Ill.)	Mural painting and decoration	African American mural painting and decoration							historical; portraits			photograph by Duane Hall, 1971	Anonymous Poem on Wall of Truth; part of; Panel in Wall of Truth; part of	Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William	Wade, Eugene															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				8/6/2013	11/12/2014	56815	7148988				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	photograph by Duane Hall, 1971	Black Laws; related to	Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				8/6/2013	11/12/2014	56815	7148989				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	photograph by Duane Hall, 1971	Black Laws; related to	Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011); Organization for Black American Culture Visual Arts Workshop (OBAC) (American artist, active ca. 1960-1970)	Wall of Respect	destruction: 1971; creation: 1967-1970			American		United States, Illinois, Chicago, 43rd Street and Langley Avenue [creation]				8/6/2013	11/12/2014	56815	7148990				Modern; 20th Century	Western				Wall of Respect (creator, English, preferred)	African Americans -- Civil Rights	Civil rights	Chicago (Ill.)	African American mural painting and decoration							historical; portraits	The Wall of Respect was an outdoor mural created in 1967 on the South Side of Chicago by the OBAC. The initial theme was "Black Heroes." Some sections of the wall were later repainted by artists with scenes that responded to current events in the Civil Rights Movement. In early, 1971, the building was damaged by fire and subsequently demolished.	Visual Resources Center; http://arthistory.uchicago.edu/vrc	photograph by Duane Hall, 1971	Black Laws; related to	Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William	Organization for Black American Culture (OBAC)															painting	paintings; mural paintings				
Don McIlvaine (American artist, active ca. 1960s)	Into the Mainstream	creation: 1969			American		United States, Illinois, Chicago, Lawndale and 16th Street [site]				8/6/2013	11/12/2014	63552	7148991				Modern; 20th Century					Into the Mainstream (cited, English, preferred)	Chicago (Ill.)	Public art	Mural painting and decoration								cityscapes; figure groups; historical			Photograph by graff, 1970		Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		McIlvaine, Don																painting	paintings; mural paintings				
Don McIlvaine (American artist, active ca. 1960s)	Into the Mainstream	creation: 1969			American		United States, Illinois, Chicago, Lawndale and 16th Street [site]				8/6/2013	11/12/2014	63552	7148992				Modern; 20th Century					Into the Mainstream (cited, English, preferred)	Chicago (Ill.)	Public art	Mural painting and decoration								cityscapes; figure groups; historical			Photograph by graff, 1970		Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		McIlvaine, Don																painting	paintings; mural paintings				
Don McIlvaine (American artist, active ca. 1960s)	Into the Mainstream	creation: 1969			American		United States, Illinois, Chicago, Lawndale and 16th Street [site]				8/6/2013	11/12/2014	63552	7148993				Modern; 20th Century					Into the Mainstream (cited, English, preferred)	Chicago (Ill.)	Public art	Mural painting and decoration								cityscapes; figure groups; historical			Photograph by graff, 1970		Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		McIlvaine, Don																painting	paintings; mural paintings				
Don McIlvaine (American artist, active ca. 1960s)	Into the Mainstream	creation: 1969			American		United States, Illinois, Chicago, Lawndale and 16th Street [site]				8/6/2013	11/12/2014	63552	7148994				Modern; 20th Century					Into the Mainstream (cited, English, preferred)	Chicago (Ill.)	Public art	Mural painting and decoration								cityscapes; figure groups; historical			Photograph by graff, 1970		Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		McIlvaine, Don																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149044				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149045				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149046				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149047				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149048				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149053				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149063				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149064				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149065				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149066				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149067				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149080				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149081				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149082				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149083				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149084				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
John Pitman Weber ( artist, born 1942); Barry Bruner ( artist, active ca. 1970s)	Our Lives	creation: 1978			American		United States, Illinois, Chicago, 3553 W. North Avenue [site]				8/6/2013	11/12/2014	66075	7149085				Modern; 20th Century					Nuestras Vidas (cited, Spanish, alternate); Our Lives (cited, English, preferred)	Dancing	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art							contemporary (1950 to present); figure groups					Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Weber, John Pitman	Bruner, Barry															painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149086				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149087				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149088				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149089				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149090				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149097				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149098				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149099				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149100				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149106				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149107				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149108				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
William Walker (American artist, 1927-2011)	History of the Packinghouse Worker	creation: 1974			American		United States, Illinois, Chicago, 4859 S. Wabash [site]				8/6/2013	11/12/2014	69249	7149109				Modern; 20th Century					History of the Packinghouse Worker (cited, English, preferred)	Mural painting and decoration-- 20th century	Chicago (Ill.)	Public art								contemporary (1950 to present); figure groups	Restored in 1998 by Bernard Williams and Derrick Holley, Amalgamated Meat Cutters Union Hall (now the Charles Hayes Family Investment Center)				Owned by Rebecca Zorach, Original photography by various artists; For educational use only.		1165	Zorach		Walker, William																painting	paintings; mural paintings				
